Country/Region,Lat,Long,Dia,Mes,Año,Muertes,12/7/20
Afghanistan,33.93911,67.709953,1,12,20,1822,
Albania,41.1533,20.1683,1,12,20,822,
Algeria,28.0339,1.6596,1,12,20,2447,
Andorra,42.5063,1.5218,1,12,20,76,
Angola,-11.2027,17.8739,1,12,20,350,
Antigua and Barbuda,17.0608,-61.7964,1,12,20,4,
Argentina,-38.4161,-63.6167,1,12,20,38928,
Armenia,40.0691,45.0382,1,12,20,2193,
Austria,47.5162,14.5501,1,12,20,3325,
Azerbaijan,40.1431,47.5769,1,12,20,1433,
Bahamas,25.025885,-78.035889,1,12,20,163,
Bahrain,26.0275,50.55,1,12,20,341,
Bangladesh,23.685,90.3563,1,12,20,6675,
Barbados,13.1939,-59.5432,1,12,20,7,
Belarus,53.7098,27.9534,1,12,20,1166,
Belgium,50.8333,4.469936,1,12,20,16786,
Belize,17.1899,-88.4976,1,12,20,148,
Benin,9.3077,2.3158,1,12,20,43,
Bhutan,27.5142,90.4336,1,12,20,0,
Bolivia,-16.2902,-63.5887,1,12,20,8963,
Bosnia and Herzegovina,43.9159,17.6791,1,12,20,2727,
Botswana,-22.3285,24.6849,1,12,20,34,
Brazil,-14.235,-51.9253,1,12,20,173817,
Brunei,4.5353,114.7277,1,12,20,3,
Bulgaria,42.7339,25.4858,1,12,20,4188,
Burkina Faso,12.2383,-1.5616,1,12,20,68,
Burma,21.9162,95.956,1,12,20,1972,
Burundi,-3.3731,29.9189,1,12,20,1,
Cabo Verde,16.5388,-23.0418,1,12,20,106,
Cambodia,11.55,104.9167,1,12,20,0,
Cameroon,3.848,11.5021,1,12,20,441,
Canada,53.9333,-116.5765,1,12,20,551,
Canada,53.7267,-127.6476,1,12,20,457,
Canada,0,0,1,12,20,1,
Canada,0,0,1,12,20,0,
Canada,53.7609,-98.8139,1,12,20,328,
Canada,46.5653,-66.4619,1,12,20,7,
Canada,53.1355,-57.6604,1,12,20,4,
Canada,64.8255,-124.8457,1,12,20,0,
Canada,44.682,-63.7443,1,12,20,65,
Canada,70.2998,-83.1076,1,12,20,0,
Canada,51.2538,-85.3232,1,12,20,3680,
Canada,46.5107,-63.4168,1,12,20,0,
Canada,52.9399,-73.5491,1,12,20,7084,
Canada,,,1,12,20,0,
Canada,52.9399,-106.4509,1,12,20,51,
Canada,64.2823,-135,1,12,20,1,
Central African Republic,6.6111,20.9394,1,12,20,63,
Chad,15.4542,18.7322,1,12,20,102,
Chile,-35.6751,-71.543,1,12,20,15430,
Colombia,4.5709,-74.2973,1,12,20,36934,
Comoros,-11.6455,43.3333,1,12,20,7,
Congo (Brazzaville),-0.228,15.8277,1,12,20,94,
Congo (Kinshasa),-4.0383,21.7587,1,12,20,335,
Costa Rica,9.7489,-83.7534,1,12,20,1731,
Cote d'Ivoire,7.54,-5.5471,1,12,20,132,
Croatia,45.1,15.2,1,12,20,1861,
Cuba,21.521757,-77.781167,1,12,20,136,
Cyprus,35.1264,33.4299,1,12,20,49,
Czechia,49.8175,15.473,1,12,20,8407,
Diamond Princess,0,0,1,12,20,13,
Djibouti,11.8251,42.5903,1,12,20,61,
Dominica,15.415,-61.371,1,12,20,0,
Dominican Republic,18.7357,-70.1627,1,12,20,2333,
Ecuador,-1.8312,-78.1834,1,12,20,13501,
Egypt,26.820553,30.802498,1,12,20,6666,
El Salvador,13.7942,-88.8965,1,12,20,1120,
Equatorial Guinea,1.6508,10.2679,1,12,20,85,
Eritrea,15.1794,39.7823,1,12,20,0,
Estonia,58.5953,25.0136,1,12,20,121,
Eswatini,-26.5225,31.4659,1,12,20,122,
Ethiopia,9.145,40.4897,1,12,20,1709,
Fiji,-17.7134,178.065,1,12,20,2,
Finland,61.92411,25.748151,1,12,20,399,
Gabon,-0.8037,11.6094,1,12,20,60,
Gambia,13.4432,-15.3101,1,12,20,123,
Georgia,42.3154,43.3569,1,12,20,1303,
Germany,51.165691,10.451526,1,12,20,17177,
Ghana,7.9465,-1.0232,1,12,20,323,
Greece,39.0742,21.8243,1,12,20,2517,
Grenada,12.1165,-61.679,1,12,20,0,
Guatemala,15.7835,-90.2308,1,12,20,4178,
Guinea,9.9456,-9.6966,1,12,20,76,
Guinea-Bissau,11.8037,-15.1804,1,12,20,44,
Guyana,4.860416,-58.93018,1,12,20,151,
Haiti,18.9712,-72.2852,1,12,20,233,
Holy See,41.9029,12.4534,1,12,20,0,
Honduras,15.2,-86.2419,1,12,20,2918,
Hungary,47.1625,19.5033,1,12,20,4977,
Iceland,64.9631,-19.0208,1,12,20,27,
India,20.593684,78.96288,1,12,20,138122,
Indonesia,-0.7893,113.9213,1,12,20,17081,
Iran,32.427908,53.688046,1,12,20,48628,
Iraq,33.223191,43.679291,1,12,20,12306,
Ireland,53.1424,-7.6921,1,12,20,2069,
Israel,31.046051,34.851612,1,12,20,2882,
Italy,41.87194,12.56738,1,12,20,56361,
Jamaica,18.1096,-77.2975,1,12,20,258,
Japan,36.204824,138.252924,1,12,20,2109,
Jordan,31.24,36.51,1,12,20,2802,
Kazakhstan,48.0196,66.9237,1,12,20,2434,
Kenya,-0.0236,37.9062,1,12,20,1474,
"Korea, South",35.907757,127.766922,1,12,20,526,
Kosovo,42.602636,20.902977,1,12,20,1026,
Kuwait,29.31166,47.481766,1,12,20,881,
Kyrgyzstan,41.20438,74.766098,1,12,20,1275,
Laos,19.85627,102.495496,1,12,20,0,
Latvia,56.8796,24.6032,1,12,20,210,
Lebanon,33.8547,35.8623,1,12,20,1033,
Lesotho,-29.61,28.2336,1,12,20,44,
Liberia,6.428055,-9.429499,1,12,20,83,
Libya,26.3351,17.228331,1,12,20,1196,
Liechtenstein,47.14,9.55,1,12,20,16,
Lithuania,55.1694,23.8813,1,12,20,519,
Luxembourg,49.8153,6.1296,1,12,20,330,
MS Zaandam,0,0,1,12,20,2,
Madagascar,-18.766947,46.869107,1,12,20,251,
Malawi,-13.2543,34.3015,1,12,20,185,
Malaysia,4.210484,101.975766,1,12,20,363,
Maldives,3.2028,73.2207,1,12,20,47,
Mali,17.570692,-3.996166,1,12,20,160,
Malta,35.9375,14.3754,1,12,20,141,
Marshall Islands,7.1315,171.1845,1,12,20,0,
Mauritania,21.0079,-10.9408,1,12,20,177,
Mauritius,-20.348404,57.552152,1,12,20,10,
Mexico,23.6345,-102.5528,1,12,20,106765,
Moldova,47.4116,28.3699,1,12,20,2323,
Monaco,43.7333,7.4167,1,12,20,3,
Mongolia,46.8625,103.8467,1,12,20,0,
Montenegro,42.708678,19.37439,1,12,20,504,
Morocco,31.7917,-7.0926,1,12,20,5915,
Mozambique,-18.665695,35.529562,1,12,20,131,
Namibia,-22.9576,18.4904,1,12,20,151,
Nepal,28.1667,84.25,1,12,20,1529,
Netherlands,12.5211,-69.9683,1,12,20,45,
Netherlands,12.1784,-68.2385,1,12,20,3,
Netherlands,12.1696,-68.99,1,12,20,7,
Netherlands,18.0425,-63.0548,1,12,20,25,
Netherlands,52.1326,5.2913,1,12,20,9438,
New Zealand,-40.9006,174.886,1,12,20,25,
Nicaragua,12.865416,-85.207229,1,12,20,161,
Niger,17.607789,8.081666,1,12,20,75,
Nigeria,9.082,8.6753,1,12,20,1176,
North Macedonia,41.6086,21.7453,1,12,20,1792,
Norway,60.472,8.4689,1,12,20,334,
Oman,21.512583,55.923255,1,12,20,1430,
Pakistan,30.3753,69.3451,1,12,20,8166,
Panama,8.538,-80.7821,1,12,20,3098,
Papua New Guinea,-6.314993,143.95555,1,12,20,7,
Paraguay,-23.4425,-58.4438,1,12,20,1771,
Peru,-9.19,-75.0152,1,12,20,35966,
Philippines,12.879721,121.774017,1,12,20,8418,
Poland,51.9194,19.1451,1,12,20,17599,
Portugal,39.3999,-8.2245,1,12,20,4577,
Qatar,25.3548,51.1839,1,12,20,238,
Romania,45.9432,24.9668,1,12,20,11530,
Russia,61.52401,105.318756,1,12,20,40050,
Rwanda,-1.9403,29.8739,1,12,20,49,
