provincia_iso;provincia;fecha;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
A;Alicante;01--01--2020;0;0;0;0;0
AB;Albacete;01--01--2020;0;0;0;0;0
AL;Almeria;01--01--2020;0;0;0;0;0
AV;Avila;01--01--2020;0;0;0;0;0
B;Barcelona;01--01--2020;0;0;0;0;0
BA;Badajoz;01--01--2020;0;0;0;0;0
BI;Bizkaia;01--01--2020;0;0;0;0;0
BU;Burgos;01--01--2020;0;0;0;0;0
C;A Coruña;01--01--2020;0;0;0;0;0
CA;Cadiz;01--01--2020;0;0;0;0;0
CC;Caceres;01--01--2020;0;0;0;0;0
CE;Ceuta;01--01--2020;0;0;0;0;0
CO;Cordoba;01--01--2020;0;0;0;0;0
CR;Ciudad Real;01--01--2020;0;0;0;0;0
CS;Castellon;01--01--2020;0;0;0;0;0
CU;Cuenca;01--01--2020;0;0;0;0;0
GC;Las Palmas;01--01--2020;0;0;0;0;0
GI;Girona;01--01--2020;0;0;0;0;0
GR;Granada;01--01--2020;0;0;0;0;0
GU;Guadalajara;01--01--2020;0;0;0;0;0
H;Huelva;01--01--2020;0;0;0;0;0
HU;Huesca;01--01--2020;0;0;0;0;0
J;Jaen;01--01--2020;0;0;0;0;0
L;Lleida;01--01--2020;0;0;0;0;0
LE;Leon;01--01--2020;0;0;0;0;0
LO;La Rioja;01--01--2020;0;0;0;0;0
LU;Lugo;01--01--2020;0;0;0;0;0
M;Madrid;01--01--2020;2;2;0;0;0
MA;Malaga;01--01--2020;0;0;0;0;0
ME;Melilla;01--01--2020;0;0;0;0;0
MU;Murcia;01--01--2020;0;0;0;0;0
NA;Navarra;01--01--2020;0;0;0;0;0
O;Asturias;01--01--2020;0;0;0;0;0
OR;Ourense;01--01--2020;0;0;0;0;0
P;Palencia;01--01--2020;0;0;0;0;0
PM;Islas Baleares;01--01--2020;0;0;0;0;0
PO;Pontevedra;01--01--2020;0;0;0;0;0
S;Cantabria;01--01--2020;0;0;0;0;0
SA;Salamanca;01--01--2020;0;0;0;0;0
SE;Sevilla;01--01--2020;0;0;0;0;0
SG;Segovia;01--01--2020;0;0;0;0;0
SO;Soria;01--01--2020;0;0;0;0;0
SS;Guipuzcoa;01--01--2020;0;0;0;0;0
T;Tarragona;01--01--2020;0;0;0;0;0
TE;Teruel;01--01--2020;0;0;0;0;0
TF;Santa Cruz de Tenerife;01--01--2020;0;0;0;0;0
TO;Toledo;01--01--2020;0;0;0;0;0
V;Valencia;01--01--2020;0;0;0;0;0
VA;Valladolid;01--01--2020;0;0;0;0;0
VI;Alava;01--01--2020;0;0;0;0;0
Z;Zaragoza;01--01--2020;0;0;0;0;0
ZA;Zamora;01--01--2020;0;0;0;0;0
A;Alicante;02--01--2020;0;0;0;0;0
AB;Albacete;02--01--2020;0;0;0;0;0
AL;Almeria;02--01--2020;0;0;0;0;0
AV;Avila;02--01--2020;0;0;0;0;0
B;Barcelona;02--01--2020;1;1;0;0;0
BA;Badajoz;02--01--2020;0;0;0;0;0
BI;Bizkaia;02--01--2020;0;0;0;0;0
BU;Burgos;02--01--2020;0;0;0;0;0
C;A Coruña;02--01--2020;0;0;0;0;0
CA;Cadiz;02--01--2020;0;0;0;0;0
CC;Caceres;02--01--2020;0;0;0;0;0
CE;Ceuta;02--01--2020;0;0;0;0;0
CO;Cordoba;02--01--2020;0;0;0;0;0
CR;Ciudad Real;02--01--2020;0;0;0;0;0
CS;Castellon;02--01--2020;0;0;0;0;0
CU;Cuenca;02--01--2020;0;0;0;0;0
GC;Las Palmas;02--01--2020;0;0;0;0;0
GI;Girona;02--01--2020;1;1;0;0;0
GR;Granada;02--01--2020;0;0;0;0;0
GU;Guadalajara;02--01--2020;0;0;0;0;0
H;Huelva;02--01--2020;0;0;0;0;0
HU;Huesca;02--01--2020;0;0;0;0;0
J;Jaen;02--01--2020;0;0;0;0;0
L;Lleida;02--01--2020;0;0;0;0;0
LE;Leon;02--01--2020;0;0;0;0;0
LO;La Rioja;02--01--2020;0;0;0;0;0
LU;Lugo;02--01--2020;0;0;0;0;0
M;Madrid;02--01--2020;3;3;0;0;0
MA;Malaga;02--01--2020;0;0;0;0;0
ME;Melilla;02--01--2020;0;0;0;0;0
MU;Murcia;02--01--2020;0;0;0;0;0
NA;Navarra;02--01--2020;0;0;0;0;0
O;Asturias;02--01--2020;0;0;0;0;0
OR;Ourense;02--01--2020;0;0;0;0;0
P;Palencia;02--01--2020;0;0;0;0;0
PM;Islas Baleares;02--01--2020;0;0;0;0;0
PO;Pontevedra;02--01--2020;0;0;0;0;0
S;Cantabria;02--01--2020;0;0;0;0;0
SA;Salamanca;02--01--2020;0;0;0;0;0
SE;Sevilla;02--01--2020;0;0;0;0;0
SG;Segovia;02--01--2020;0;0;0;0;0
SO;Soria;02--01--2020;0;0;0;0;0
SS;Guipuzcoa;02--01--2020;0;0;0;0;0
T;Tarragona;02--01--2020;0;0;0;0;0
TE;Teruel;02--01--2020;0;0;0;0;0
TF;Santa Cruz de Tenerife;02--01--2020;0;0;0;0;0
TO;Toledo;02--01--2020;0;0;0;0;0
V;Valencia;02--01--2020;0;0;0;0;0
VA;Valladolid;02--01--2020;0;0;0;0;0
VI;Alava;02--01--2020;0;0;0;0;0
Z;Zaragoza;02--01--2020;0;0;0;0;0
ZA;Zamora;02--01--2020;0;0;0;0;0
A;Alicante;03--01--2020;0;0;0;0;0
AB;Albacete;03--01--2020;0;0;0;0;0
AL;Almeria;03--01--2020;0;0;0;0;0
AV;Avila;03--01--2020;0;0;0;0;0
B;Barcelona;03--01--2020;1;1;0;0;0
BA;Badajoz;03--01--2020;0;0;0;0;0
BI;Bizkaia;03--01--2020;0;0;0;0;0
BU;Burgos;03--01--2020;0;0;0;0;0
C;A Coruña;03--01--2020;0;0;0;0;0
CA;Cadiz;03--01--2020;0;0;0;0;0
CC;Caceres;03--01--2020;0;0;0;0;0
CE;Ceuta;03--01--2020;0;0;0;0;0
CO;Cordoba;03--01--2020;0;0;0;0;0
CR;Ciudad Real;03--01--2020;0;0;0;0;0
CS;Castellon;03--01--2020;0;0;0;0;0
CU;Cuenca;03--01--2020;0;0;0;0;0
GC;Las Palmas;03--01--2020;0;0;0;0;0
GI;Girona;03--01--2020;0;0;0;0;0
GR;Granada;03--01--2020;0;0;0;0;0
GU;Guadalajara;03--01--2020;0;0;0;0;0
H;Huelva;03--01--2020;0;0;0;0;0
HU;Huesca;03--01--2020;0;0;0;0;0
J;Jaen;03--01--2020;0;0;0;0;0
L;Lleida;03--01--2020;0;0;0;0;0
LE;Leon;03--01--2020;0;0;0;0;0
LO;La Rioja;03--01--2020;0;0;0;0;0
LU;Lugo;03--01--2020;0;0;0;0;0
M;Madrid;03--01--2020;0;0;0;0;0
MA;Malaga;03--01--2020;0;0;0;0;0
ME;Melilla;03--01--2020;0;0;0;0;0
MU;Murcia;03--01--2020;0;0;0;0;0
NA;Navarra;03--01--2020;0;0;0;0;0
O;Asturias;03--01--2020;0;0;0;0;0
OR;Ourense;03--01--2020;0;0;0;0;0
P;Palencia;03--01--2020;0;0;0;0;0
PM;Islas Baleares;03--01--2020;0;0;0;0;0
PO;Pontevedra;03--01--2020;0;0;0;0;0
S;Cantabria;03--01--2020;0;0;0;0;0
SA;Salamanca;03--01--2020;0;0;0;0;0
SE;Sevilla;03--01--2020;0;0;0;0;0
SG;Segovia;03--01--2020;0;0;0;0;0
SO;Soria;03--01--2020;0;0;0;0;0
SS;Guipuzcoa;03--01--2020;0;0;0;0;0
T;Tarragona;03--01--2020;0;0;0;0;0
TE;Teruel;03--01--2020;0;0;0;0;0
TF;Santa Cruz de Tenerife;03--01--2020;0;0;0;0;0
TO;Toledo;03--01--2020;0;0;0;0;0
V;Valencia;03--01--2020;0;0;0;0;0
VA;Valladolid;03--01--2020;0;0;0;0;0
VI;Alava;03--01--2020;0;0;0;0;0
Z;Zaragoza;03--01--2020;0;0;0;0;0
ZA;Zamora;03--01--2020;0;0;0;0;0
A;Alicante;04--01--2020;0;0;0;0;0
AB;Albacete;04--01--2020;0;0;0;0;0
AL;Almeria;04--01--2020;0;0;0;0;0
AV;Avila;04--01--2020;0;0;0;0;0
B;Barcelona;04--01--2020;0;0;0;0;0
BA;Badajoz;04--01--2020;0;0;0;0;0
BI;Bizkaia;04--01--2020;0;0;0;0;0
BU;Burgos;04--01--2020;0;0;0;0;0
C;A Coruña;04--01--2020;0;0;0;0;0
CA;Cadiz;04--01--2020;0;0;0;0;0
CC;Caceres;04--01--2020;0;0;0;0;0
CE;Ceuta;04--01--2020;0;0;0;0;0
CO;Cordoba;04--01--2020;0;0;0;0;0
CR;Ciudad Real;04--01--2020;0;0;0;0;0
CS;Castellon;04--01--2020;0;0;0;0;0
CU;Cuenca;04--01--2020;0;0;0;0;0
GC;Las Palmas;04--01--2020;0;0;0;0;0
GI;Girona;04--01--2020;1;1;0;0;0
GR;Granada;04--01--2020;0;0;0;0;0
GU;Guadalajara;04--01--2020;0;0;0;0;0
H;Huelva;04--01--2020;0;0;0;0;0
HU;Huesca;04--01--2020;0;0;0;0;0
J;Jaen;04--01--2020;0;0;0;0;0
L;Lleida;04--01--2020;0;0;0;0;0
LE;Leon;04--01--2020;0;0;0;0;0
LO;La Rioja;04--01--2020;0;0;0;0;0
LU;Lugo;04--01--2020;0;0;0;0;0
M;Madrid;04--01--2020;0;0;0;0;0
MA;Malaga;04--01--2020;0;0;0;0;0
ME;Melilla;04--01--2020;0;0;0;0;0
MU;Murcia;04--01--2020;0;0;0;0;0
NA;Navarra;04--01--2020;0;0;0;0;0
O;Asturias;04--01--2020;0;0;0;0;0
OR;Ourense;04--01--2020;0;0;0;0;0
P;Palencia;04--01--2020;0;0;0;0;0
PM;Islas Baleares;04--01--2020;0;0;0;0;0
PO;Pontevedra;04--01--2020;0;0;0;0;0
S;Cantabria;04--01--2020;0;0;0;0;0
SA;Salamanca;04--01--2020;0;0;0;0;0
SE;Sevilla;04--01--2020;0;0;0;0;0
SG;Segovia;04--01--2020;0;0;0;0;0
SO;Soria;04--01--2020;0;0;0;0;0
SS;Guipuzcoa;04--01--2020;0;0;0;0;0
T;Tarragona;04--01--2020;0;0;0;0;0
TE;Teruel;04--01--2020;0;0;0;0;0
TF;Santa Cruz de Tenerife;04--01--2020;0;0;0;0;0
TO;Toledo;04--01--2020;0;0;0;0;0
V;Valencia;04--01--2020;0;0;0;0;0
VA;Valladolid;04--01--2020;0;0;0;0;0
VI;Alava;04--01--2020;0;0;0;0;0
Z;Zaragoza;04--01--2020;0;0;0;0;0
ZA;Zamora;04--01--2020;0;0;0;0;0
A;Alicante;05--01--2020;0;0;0;0;0
AB;Albacete;05--01--2020;0;0;0;0;0
AL;Almeria;05--01--2020;0;0;0;0;0
AV;Avila;05--01--2020;0;0;0;0;0
B;Barcelona;05--01--2020;1;1;0;0;0
BA;Badajoz;05--01--2020;0;0;0;0;0
BI;Bizkaia;05--01--2020;0;0;0;0;0
BU;Burgos;05--01--2020;0;0;0;0;0
C;A Coruña;05--01--2020;0;0;0;0;0
CA;Cadiz;05--01--2020;0;0;0;0;0
CC;Caceres;05--01--2020;0;0;0;0;0
CE;Ceuta;05--01--2020;0;0;0;0;0
CO;Cordoba;05--01--2020;0;0;0;0;0
CR;Ciudad Real;05--01--2020;0;0;0;0;0
CS;Castellon;05--01--2020;0;0;0;0;0
CU;Cuenca;05--01--2020;0;0;0;0;0
GC;Las Palmas;05--01--2020;0;0;0;0;0
GI;Girona;05--01--2020;0;0;0;0;0
GR;Granada;05--01--2020;0;0;0;0;0
GU;Guadalajara;05--01--2020;0;0;0;0;0
H;Huelva;05--01--2020;0;0;0;0;0
HU;Huesca;05--01--2020;0;0;0;0;0
J;Jaen;05--01--2020;0;0;0;0;0
L;Lleida;05--01--2020;0;0;0;0;0
LE;Leon;05--01--2020;0;0;0;0;0
LO;La Rioja;05--01--2020;0;0;0;0;0
LU;Lugo;05--01--2020;0;0;0;0;0
M;Madrid;05--01--2020;0;0;0;0;0
MA;Malaga;05--01--2020;0;0;0;0;0
ME;Melilla;05--01--2020;0;0;0;0;0
MU;Murcia;05--01--2020;0;0;0;0;0
NA;Navarra;05--01--2020;0;0;0;0;0
O;Asturias;05--01--2020;0;0;0;0;0
OR;Ourense;05--01--2020;0;0;0;0;0
P;Palencia;05--01--2020;0;0;0;0;0
PM;Islas Baleares;05--01--2020;0;0;0;0;0
PO;Pontevedra;05--01--2020;0;0;0;0;0
S;Cantabria;05--01--2020;0;0;0;0;0
SA;Salamanca;05--01--2020;0;0;0;0;0
SE;Sevilla;05--01--2020;0;0;0;0;0
SG;Segovia;05--01--2020;0;0;0;0;0
SO;Soria;05--01--2020;0;0;0;0;0
SS;Guipuzcoa;05--01--2020;0;0;0;0;0
T;Tarragona;05--01--2020;0;0;0;0;0
TE;Teruel;05--01--2020;0;0;0;0;0
TF;Santa Cruz de Tenerife;05--01--2020;0;0;0;0;0
TO;Toledo;05--01--2020;0;0;0;0;0
V;Valencia;05--01--2020;0;0;0;0;0
VA;Valladolid;05--01--2020;0;0;0;0;0
VI;Alava;05--01--2020;0;0;0;0;0
Z;Zaragoza;05--01--2020;0;0;0;0;0
ZA;Zamora;05--01--2020;0;0;0;0;0
A;Alicante;06--01--2020;0;0;0;0;0
AB;Albacete;06--01--2020;0;0;0;0;0
AL;Almeria;06--01--2020;0;0;0;0;0
AV;Avila;06--01--2020;0;0;0;0;0
B;Barcelona;06--01--2020;0;0;0;0;0
BA;Badajoz;06--01--2020;0;0;0;0;0
BI;Bizkaia;06--01--2020;0;0;0;0;0
BU;Burgos;06--01--2020;0;0;0;0;0
C;A Coruña;06--01--2020;0;0;0;0;0
CA;Cadiz;06--01--2020;0;0;0;0;0
CC;Caceres;06--01--2020;0;0;0;0;0
CE;Ceuta;06--01--2020;0;0;0;0;0
CO;Cordoba;06--01--2020;0;0;0;0;0
CR;Ciudad Real;06--01--2020;0;0;0;0;0
CS;Castellon;06--01--2020;0;0;0;0;0
CU;Cuenca;06--01--2020;0;0;0;0;0
GC;Las Palmas;06--01--2020;0;0;0;0;0
GI;Girona;06--01--2020;0;0;0;0;0
GR;Granada;06--01--2020;0;0;0;0;0
GU;Guadalajara;06--01--2020;0;0;0;0;0
H;Huelva;06--01--2020;0;0;0;0;0
HU;Huesca;06--01--2020;0;0;0;0;0
J;Jaen;06--01--2020;0;0;0;0;0
L;Lleida;06--01--2020;0;0;0;0;0
LE;Leon;06--01--2020;0;0;0;0;0
LO;La Rioja;06--01--2020;0;0;0;0;0
LU;Lugo;06--01--2020;0;0;0;0;0
M;Madrid;06--01--2020;1;0;0;1;0
MA;Malaga;06--01--2020;0;0;0;0;0
ME;Melilla;06--01--2020;0;0;0;0;0
MU;Murcia;06--01--2020;0;0;0;0;0
