dia,mes,a�o,cod_ine,CCAA,PCR,PCR_x_1000hab.,TEST_ANTICUERPOS,TEST_ACC_x_1000hab.,TOTAL_PRUEBAS,Total_Pruebas_x_1000hab.
23,04,2020,1,Andalucía,68862,8.15,82757,9.8,151619,17.95
23,04,2020,2,Aragón,19123,14.44,3188,2.41,22311,16.85
23,04,2020,3,Asturias,34425,33.75,9502,9.32,43927,43.07
23,04,2020,4,Illes Balears,27814,23.21,4407,3.68,32221,26.88
23,04,2020,5,Canarias,45052,20.29,0,0,45052,20.29
23,04,2020,6,Cantabria,19560,33.61,4533,7.79,24093,41.4
23,04,2020,7,Castilla y León,65689,27.34,44514,18.53,110203,45.86
23,04,2020,8,Castilla-la Mancha,35895,17.61,32611,16,68506,33.61
23,04,2020,9,Cataluña,194039,25.5,2996,0.39,197035,25.89
23,04,2020,10,Comunidad Valenciana,96406,19.29,18098,3.62,114504,22.91
23,04,2020,11,Extremadura,14111,13.28,12065,11.35,26176,24.63
23,04,2020,12,Galicia,81201,30.09,14630,5.42,95831,35.51
23,04,2020,13,Madrid,203892,30.5,34716,5.19,238608,35.69
23,04,2020,14,Región de Murcia,18385,12.3,2240,1.5,20625,13.8
23,04,2020,15,C. Foral de Navarra,19345,29.65,9733,14.92,29078,44.56
23,04,2020,16,País Vasco,72044,33.02,24418,11.19,96462,44.21
23,04,2020,17,La Rioja,17898,56.91,7355,23.39,25253,80.3
23,04,2020,18,Ceuta,793,9.39,703,8.33,1496,17.72
23,04,2020,19,Melilla,988,11.72,1572,18.65,2560,30.37
30,04,2020,1,Andalucía,100665,11.92,119466,14.14,220131,26.06
30,04,2020,2,Aragón,22399,16.91,6815,5.15,29214,22.06
30,04,2020,3,Asturias,45225,44.34,18077,17.72,63302,62.06
30,04,2020,4,Illes Balears,34015,28.38,7469,6.23,41484,34.61
30,04,2020,5,Canarias,66015,29.73,21737,9.79,87752,39.52
30,04,2020,6,Cantabria,24634,42.33,9065,15.58,33699,57.91
30,04,2020,7,Castilla y León,86662,36.07,66722,27.77,153384,63.83
30,04,2020,8,Castilla-la Mancha,46313,22.72,64198,31.49,110511,54.21
30,04,2020,9,Cataluña,234622,30.83,9857,1.3,244479,32.13
30,04,2020,18,Ceuta,886,10.49,1667,19.74,2553,30.24
30,04,2020,13,Madrid,278718,41.69,54411,8.14,333129,49.83
30,04,2020,10,Comunidad Valenciana,115377,23.08,40559,8.11,155936,31.2
30,04,2020,16,País Vasco,102269,46.87,52154,23.9,154423,70.77
30,04,2020,11,Extremadura,19811,18.64,17847,16.79,37658,35.43
30,04,2020,12,Galicia,102928,38.14,47437,17.58,150365,55.72
30,04,2020,17,La Rioja,21453,68.22,12212,38.83,33665,107.05
30,04,2020,19,Melilla,1226,14.55,2577,30.57,3803,45.12
30,04,2020,14,Región de Murcia,21545,14.42,7854,5.26,29399,19.67
30,04,2020,15,C. Foral de Navarra,26367,40.41,21201,32.49,47568,72.9
07,05,2020,1,Andalucía,117200,13.88,155270,18.38,272470,32.26
07,05,2020,2,Aragón,28392,21.44,10379,7.84,38771,29.27
07,05,2020,3,Asturias,56843,55.73,30048,29.46,86891,85.19
07,05,2020,4,Illes Balears,50851,42.43,13097,10.93,63948,53.35
07,05,2020,5,Canarias,77916,35.09,21737,9.79,99653,44.88
07,05,2020,6,Cantabria,29183,50.15,12719,21.86,41902,72
07,05,2020,7,Castilla y León,101679,42.32,110060,45.8,211739,88.12
07,05,2020,8,Castilla-la Mancha,49396,24.23,72943,35.78,122339,60.02
07,05,2020,9,Cataluña,292131,38.39,17782,2.34,309913,40.73
07,05,2020,18,Ceuta,1001,11.86,2914,34.51,3915,46.37
07,05,2020,13,Madrid,339718,50.81,77518,11.59,417236,62.41
07,05,2020,10,Comunidad Valenciana,133533,26.71,60663,12.14,194196,38.85
07,05,2020,16,País Vasco,125183,57.37,71144,32.61,196327,89.98
07,05,2020,11,Extremadura,24356,22.92,24977,23.5,49333,46.42
07,05,2020,12,Galicia,114532,42.44,83108,30.79,197640,73.23
07,05,2020,17,La Rioja,24295,77.25,14273,45.39,38568,122.64
07,05,2020,19,Melilla,1376,16.33,3038,36.04,4414,52.37
07,05,2020,14,Región de Murcia,24805,16.6,19677,13.17,44482,29.76
07,05,2020,15,C. Foral de Navarra,32821,50.3,29420,45.09,62241,95.38
14,05,2020,1,Andalucía,131245,15.54,18346,21.72,314705,37.26
14,05,2020,2,Aragón,35338,26.68,19091,14.41,54429,41.1
14,05,2020,3,Asturias,71461,70.06,39504,38.73,110965,108.79
14,05,2020,4,Illes Balears,649,54.15,20975,17.5,85875,71.65
14,05,2020,5,Canarias,88482,39.85,38209,17.21,126691,57.06
14,05,2020,6,Cantabria,33313,57.24,15161,26.05,48474,83.3
14,05,2020,7,Castilla y León,114195,47.52,153972,64.08,268167,111.6
14,05,2020,8,Castilla-la Mancha,60081,29.47,94306,46.26,154387,75.74
14,05,2020,9,Cataluña,342933,45.07,1983,2.61,362763,47.67
14,05,2020,18,Ceuta,1119,13.25,3928,46.52,5047,59.77
14,05,2020,13,Madrid,403633,60.37,112422,16.82,516055,77.19
14,05,2020,10,Comunidad Valenciana,156383,31.28,81562,16.32,237945,47.6
14,05,2020,16,País Vasco,153531,70.37,91076,41.74,244607,112.11
14,05,2020,11,Extremadura,28105,26.44,33042,31.09,61147,57.53
14,05,2020,12,Galicia,13716,50.82,123925,45.92,261085,96.74
14,05,2020,17,La Rioja,27002,85.86,15115,48.06,42117,133.92
14,05,2020,19,Melilla,1533,18.19,3866,45.87,5399,64.06
14,05,2020,14,Región de Murcia,28744,19.23,30941,20.7,59685,39.94
14,05,2020,15,C. Foral de Navarra,40253,61.69,38044,58.3,78297,119.99
21,05,2020,1,Andalucía,157200,18.61,214918,25.44,372118,44.06
21,05,2020,2,Aragón,43586,32.91,26482,20,70068,52.91
21,05,2020,3,Asturias,82325,80.71,51446,50.44,133771,131.15
21,05,2020,4,Illes Balears,74103,61.83,24516,20.45,98619,82.28
21,05,2020,5,Canarias,94993,42.78,40266,18.14,135259,60.92
21,05,2020,6,Cantabria,38112,65.49,16952,29.13,55064,94.62
21,05,2020,7,Castilla y León,133734,55.66,217851,90.66,351585,146.32
21,05,2020,8,Castilla-la Mancha,72297,35.47,108624,53.29,180921,88.75
21,05,2020,9,Cataluña,405765,53.32,24478,3.22,430243,56.54
21,05,2020,18,Ceuta,1262,14.95,5156,61.07,6418,76.01
21,05,2020,13,Madrid,464212,69.44,124523,18.63,588735,88.06
21,05,2020,10,Comunidad Valenciana,187257,37.46,91322,18.27,278579,55.73
21,05,2020,16,País Vasco,177070,81.15,104403,47.85,281473,129
21,05,2020,11,Extremadura,32157,30.26,38706,36.42,70863,66.68
21,05,2020,12,Galicia,145843,54.04,139056,51.53,284899,105.57
21,05,2020,17,La Rioja,29432,93.59,17885,56.87,47317,150.46
21,05,2020,19,Melilla,1720,20.41,4158,49.33,5878,69.74
21,05,2020,14,Región de Murcia,32674,21.86,40487,27.09,73161,48.96
21,05,2020,15,C. Foral de Navarra,47755,73.18,43841,67.19,91596,140.37
28,05,2020,1,Andalucía,183068,21.67,242382,28.7,425450,50.37
28,05,2020,2,Aragón,51316,38.75,33030,24.94,84346,63.69
28,05,2020,3,Asturias,92286,90.48,61918,60.7,154204,151.18
28,05,2020,4,Illes Balears,84558,70.55,30282,25.26,114840,95.81
28,05,2020,5,Canarias,100922,45.45,44888,20.22,145810,65.67
28,05,2020,6,Cantabria,42599,73.2,18903,32.48,61502,105.68
28,05,2020,7,Castilla y León,149668,62.29,258789,107.7,408457,169.99
28,05,2020,8,Castilla-la Mancha,95572,46.88,126660,62.14,222232,109.02
28,05,2020,9,Cataluña,467591,61.45,41438,5.45,509029,66.89
28,05,2020,18,Ceuta,1535,18.18,5773,68.37,7308,86.55
28,05,2020,13,Madrid,538282,80.52,135358,20.25,673640,100.76
28,05,2020,10,Comunidad Valenciana,217729,43.56,99068,19.82,316797,63.38
28,05,2020,16,País Vasco,195280,89.5,112516,51.57,307796,141.07
28,05,2020,11,Extremadura,35512,33.41,45909,43.2,81421,76.61
28,05,2020,12,Galicia,154054,57.08,150284,55.69,304338,112.77
28,05,2020,17,La Rioja,31619,100.54,21263,67.61,52882,168.15
28,05,2020,19,Melilla,1930,22.9,4344,51.54,6274,74.44
28,05,2020,14,Región de Murcia,37935,25.38,47818,32,85753,57.38
28,05,2020,15,C. Foral de Navarra,54778,83.95,46986,72.01,101764,155.95
04,06,2020,1,Andalucía,208161,24.64,258889,30.65,467050,55.29
04,06,2020,2,Aragón,58501,44.17,36363,27.46,94864,71.63
04,06,2020,3,Asturias,101726,99.73,68823,67.47,170549,167.21
04,06,2020,4,Illes Balears,93644,78.13,33874,28.26,127518,106.39
04,06,2020,5,Canarias,109221,49.19,45568,20.52,154789,69.72
04,06,2020,6,Cantabria,46626,80.12,20598,35.39,67224,115.52
04,06,2020,7,Castilla y León,167186,69.58,282133,117.41,449319,186.99
04,06,2020,8,Castilla-la Mancha,104003,51.02,132934,65.21,236937,116.23
04,06,2020,9,Cataluña,517668,68.03,49023,6.44,566691,74.47
04,06,2020,18,Ceuta,1901,22.51,5993,70.98,7894,93.49
04,06,2020,13,Madrid,614596,91.93,142994,21.39,757590,113.32
04,06,2020,10,Comunidad Valenciana,246301,49.27,106339,21.27,352640,70.55
04,06,2020,16,País Vasco,212215,97.26,118959,54.52,331174,151.78
04,06,2020,11,Extremadura,38959,36.66,50762,47.76,89721,84.42
04,06,2020,12,Galicia,161938,60,157439,58.34,319377,118.34
04,06,2020,17,La Rioja,33704,107.17,25682,81.66,59386,188.83
04,06,2020,19,Melilla,2327,27.61,4732,56.14,7059,83.75
04,06,2020,14,Región de Murcia,43027,28.79,52017,34.81,95044,63.6
04,06,2020,15,C. Foral de Navarra,61176,93.75,49336,75.61,110512,169.36
11,06,2020,1,Andalucía,230037,27.23,272684,32.28,502721,59.52
11,06,2020,2,Aragón,65018,49.09,37609,28.4,102627,77.49
11,06,2020,3,Asturias,109306,107.16,73479,72.04,182785,179.2
11,06,2020,4,Illes Balears,102779,85.75,37396,31.2,140175,116.95
11,06,2020,5,Canarias,118746,53.48,46865,21.11,165611,74.59
11,06,2020,6,Cantabria,50605,86.96,22197,38.14,72802,125.1
