provincia,Poblacion,mes,Num,Total_cap
A Coruña,1119596,1,0,0
A Coruña,1119596,2,12,1.07181519047942e-05
A Coruña,1119596,3,2491,0.0022249096995702
A Coruña,1119596,4,1431,0.00127813961464671
A Coruña,1119596,5,136,0.000121472388254335
A Coruña,1119596,6,24,2.14363038095885e-05
A Coruña,1119596,7,194,0.000173276789127507
A Coruña,1119596,8,3210,0.00286710563453246
A Coruña,1119596,9,2663,0.00237853654353892
A Coruña,1119596,10,5786,0.00516793557676162
A Coruña,1119596,11,4059,0.00362541488179665
Alava,331549,1,0,0
Alava,331549,2,78,0.000235259343264495
Alava,331549,3,2763,0.00833360981333076
Alava,331549,4,448,0.00135123315105761
Alava,331549,5,99,0.00029859839722032
Alava,331549,6,108,0.000325743706058531
Alava,331549,7,366,0.00110390922608725
Alava,331549,8,2657,0.00801389839812516
Alava,331549,9,2289,0.00690395688118498
Alava,331549,10,2689,0.00811041505177214
Alava,331549,11,2130,0.00642438975837659
Albacete,388167,1,0,0
Albacete,388167,2,7,1.80334752825459e-05
Albacete,388167,3,2465,0.00635035951021081
Albacete,388167,4,834,0.00214855976937761
Albacete,388167,5,120,0.00030914529055793
Albacete,388167,6,31,7.98625333941319e-05
Albacete,388167,7,59,0.000151996434524316
Albacete,388167,8,1102,0.00283898425162366
Albacete,388167,9,1765,0.00454701198195622
Albacete,388167,10,3042,0.00783683311564352
Albacete,388167,11,2261,0.00582481251626233
Alicante,1858683,1,0,0
Alicante,1858683,2,42,2.25966450438294e-05
Alicante,1858683,3,3261,0.0017544680830459
Alicante,1858683,4,682,0.000366926474283135
Alicante,1858683,5,121,6.50998583405562e-05
Alicante,1858683,6,44,2.36726757602023e-05
Alicante,1858683,7,844,0.000454084962309334
Alicante,1858683,8,4159,0.0022376058746973
Alicante,1858683,9,5483,0.00294993820893611
Alicante,1858683,10,10251,0.00551519543676894
Alicante,1858683,11,7891,0.004245479191449
Almeria,716820,1,0,0
Almeria,716820,2,1,1.39505036131804e-06
Almeria,716820,3,398,0.000555230043804581
Almeria,716820,4,111,0.000154850590106303
Almeria,716820,5,25,3.48762590329511e-05
Almeria,716820,6,38,5.30119137300857e-05
Almeria,716820,7,882,0.00123043441868251
Almeria,716820,8,3809,0.00531374682626043
Almeria,716820,9,2909,0.00405820150107419
Almeria,716820,10,4096,0.00571412627995871
Almeria,716820,11,4588,0.00640049105772718
Asturias,1022800,1,0,0
Asturias,1022800,2,5,4.88854125928823e-06
Asturias,1022800,3,1593,0.00155748924520923
Asturias,1022800,4,752,0.00073523660539695
Asturias,1022800,5,76,7.43058271411811e-05
Asturias,1022800,6,11,1.07547907704341e-05
Asturias,1022800,7,102,9.97262416894799e-05
Asturias,1022800,8,941,0.000920023464998045
Asturias,1022800,9,2327,0.00227512710207274
Asturias,1022800,10,7437,0.00727121626906531
Asturias,1022800,11,8559,0.00836820492764959
Avila,157640,1,0,0
Avila,157640,2,4,2.53742704897234e-05
Avila,157640,3,1178,0.00747272265922355
Avila,157640,4,543,0.00344455721897995
Avila,157640,5,83,0.000526516112661761
Avila,157640,6,49,0.000310834813499112
Avila,157640,7,16,0.000101497081958894
Avila,157640,8,524,0.00332402943415377
Avila,157640,9,1079,0.00684470946460289
Avila,157640,10,1671,0.010600101497082
Avila,157640,11,971,0.00615960416138036
Badajoz,673559,1,0,0
Badajoz,673559,2,9,1.3361858426656e-05
Badajoz,673559,3,652,0.000967992410464414
Badajoz,673559,4,258,0.000383039941564139
Badajoz,673559,5,48,7.12632449421654e-05
Badajoz,673559,6,33,4.89934808977387e-05
Badajoz,673559,7,281,0.000417186913098927
Badajoz,673559,8,1158,0.00171922578422974
Badajoz,673559,9,3383,0.00502257411748637
Badajoz,673559,10,6866,0.0101936133286022
Badajoz,673559,11,4189,0.00621920277214023
Barcelona,5664579,1,16,2.82457001658905e-06
Barcelona,5664579,2,209,3.68959458416945e-05
Barcelona,5664579,3,26276,0.00463865010974337
Barcelona,5664579,4,14829,0.00261784679849994
Barcelona,5664579,5,3583,0.000632527148089911
Barcelona,5664579,6,2042,0.000360485748367178
Barcelona,5664579,7,14793,0.00261149151596262
Barcelona,5664579,8,23603,0.00416677038134696
Barcelona,5664579,9,23774,0.00419695797339926
Barcelona,5664579,10,73690,0.013008910282653
Barcelona,5664579,11,36136,0.00637929138246638
