cod_ine,CCAA,dia,mes,año,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
1,Andalucia,01,01,2020,0,0,0,0,0
1,Andalucia,02,01,2020,1,1,0,0,0
1,Andalucia,03,01,2020,0,0,0,0,0
1,Andalucia,04,01,2020,0,0,0,0,0
1,Andalucia,05,01,2020,0,0,0,0,0
1,Andalucia,06,01,2020,0,0,0,0,0
1,Andalucia,07,01,2020,0,0,0,0,0
1,Andalucia,08,01,2020,0,0,0,0,0
1,Andalucia,09,01,2020,0,0,0,0,0
1,Andalucia,10,01,2020,0,0,0,0,0
1,Andalucia,11,01,2020,0,0,0,0,0
1,Andalucia,12,01,2020,0,0,0,0,0
1,Andalucia,13,01,2020,0,0,0,0,0
1,Andalucia,14,01,2020,0,0,0,0,0
1,Andalucia,15,01,2020,0,0,0,0,0
1,Andalucia,16,01,2020,0,0,0,0,0
1,Andalucia,17,01,2020,1,1,0,0,0
1,Andalucia,18,01,2020,0,0,0,0,0
1,Andalucia,19,01,2020,0,0,0,0,0
1,Andalucia,20,01,2020,0,0,0,0,0
1,Andalucia,21,01,2020,0,0,0,0,0
1,Andalucia,22,01,2020,0,0,0,0,0
1,Andalucia,23,01,2020,0,0,0,0,0
1,Andalucia,24,01,2020,0,0,0,0,0
1,Andalucia,25,01,2020,0,0,0,0,0
1,Andalucia,26,01,2020,0,0,0,0,0
1,Andalucia,27,01,2020,0,0,0,0,0
1,Andalucia,28,01,2020,0,0,0,0,0
1,Andalucia,29,01,2020,0,0,0,0,0
1,Andalucia,30,01,2020,0,0,0,0,0
1,Andalucia,31,01,2020,0,0,0,0,0
1,Andalucia,01,02,2020,1,0,0,1,0
1,Andalucia,02,02,2020,1,1,0,0,0
1,Andalucia,03,02,2020,1,1,0,0,0
1,Andalucia,04,02,2020,0,0,0,0,0
1,Andalucia,05,02,2020,0,0,0,0,0
1,Andalucia,06,02,2020,2,1,1,0,0
1,Andalucia,07,02,2020,2,2,0,0,0
1,Andalucia,08,02,2020,0,0,0,0,0
1,Andalucia,09,02,2020,0,0,0,0,0
1,Andalucia,10,02,2020,1,1,0,0,0
1,Andalucia,11,02,2020,0,0,0,0,0
1,Andalucia,12,02,2020,1,1,0,0,0
1,Andalucia,13,02,2020,1,1,0,0,0
1,Andalucia,14,02,2020,1,1,0,0,0
1,Andalucia,15,02,2020,1,1,0,0,0
1,Andalucia,16,02,2020,0,0,0,0,0
1,Andalucia,17,02,2020,0,0,0,0,0
1,Andalucia,18,02,2020,3,3,0,0,0
1,Andalucia,19,02,2020,1,1,0,0,0
1,Andalucia,20,02,2020,4,3,1,0,0
1,Andalucia,21,02,2020,4,4,0,0,0
1,Andalucia,22,02,2020,2,2,0,0,0
1,Andalucia,23,02,2020,2,2,0,0,0
1,Andalucia,24,02,2020,5,5,0,0,0
1,Andalucia,25,02,2020,9,9,0,0,0
1,Andalucia,26,02,2020,9,9,0,0,0
1,Andalucia,27,02,2020,8,7,1,0,0
1,Andalucia,28,02,2020,8,8,0,0,0
1,Andalucia,29,02,2020,8,8,0,0,0
1,Andalucia,01,03,2020,26,25,1,0,0
1,Andalucia,02,03,2020,33,33,0,0,0
1,Andalucia,03,03,2020,37,37,0,0,0
1,Andalucia,04,03,2020,32,32,0,0,0
1,Andalucia,05,03,2020,57,57,0,0,0
1,Andalucia,06,03,2020,69,67,2,0,0
1,Andalucia,07,03,2020,74,74,0,0,0
1,Andalucia,08,03,2020,80,80,0,0,0
1,Andalucia,09,03,2020,161,161,0,0,0
1,Andalucia,10,03,2020,211,209,2,0,0
1,Andalucia,11,03,2020,252,250,2,0,0
1,Andalucia,12,03,2020,303,302,1,0,0
1,Andalucia,13,03,2020,455,448,7,0,0
1,Andalucia,14,03,2020,395,394,1,0,0
1,Andalucia,15,03,2020,415,411,4,0,0
1,Andalucia,16,03,2020,546,543,3,0,0
1,Andalucia,17,03,2020,547,542,5,0,0
1,Andalucia,18,03,2020,502,496,6,0,0
1,Andalucia,19,03,2020,534,529,4,1,0
1,Andalucia,20,03,2020,762,756,6,0,0
1,Andalucia,21,03,2020,523,519,4,0,0
1,Andalucia,22,03,2020,492,483,9,0,0
1,Andalucia,23,03,2020,535,534,1,0,0
1,Andalucia,24,03,2020,476,467,9,0,0
1,Andalucia,25,03,2020,497,491,6,0,0
1,Andalucia,26,03,2020,439,432,6,1,0
1,Andalucia,27,03,2020,402,392,10,0,0
1,Andalucia,28,03,2020,297,292,5,0,0
1,Andalucia,29,03,2020,325,318,7,0,0
1,Andalucia,30,03,2020,307,299,8,0,0
1,Andalucia,31,03,2020,249,244,5,0,0
1,Andalucia,01,04,2020,333,325,8,0,0
1,Andalucia,02,04,2020,225,218,7,0,0
1,Andalucia,03,04,2020,177,172,5,0,0
1,Andalucia,04,04,2020,179,169,10,0,0
1,Andalucia,05,04,2020,173,167,6,0,0
1,Andalucia,06,04,2020,146,141,5,0,0
1,Andalucia,07,04,2020,172,164,8,0,0
1,Andalucia,08,04,2020,145,134,11,0,0
1,Andalucia,09,04,2020,94,87,7,0,0
1,Andalucia,10,04,2020,103,95,8,0,0
1,Andalucia,11,04,2020,107,97,10,0,0
1,Andalucia,12,04,2020,89,83,6,0,0
1,Andalucia,13,04,2020,80,75,4,1,0
1,Andalucia,14,04,2020,67,56,11,0,0
1,Andalucia,15,04,2020,107,97,10,0,0
1,Andalucia,16,04,2020,58,49,9,0,0
1,Andalucia,17,04,2020,70,66,4,0,0
1,Andalucia,18,04,2020,47,43,4,0,0
1,Andalucia,19,04,2020,40,27,13,0,0
1,Andalucia,20,04,2020,42,39,3,0,0
1,Andalucia,21,04,2020,44,39,5,0,0
1,Andalucia,22,04,2020,29,27,2,0,0
1,Andalucia,23,04,2020,41,37,4,0,0
1,Andalucia,24,04,2020,51,45,6,0,0
