Country/Region,Dia,Mes,Año,Confirmed,Recovered
Afghanistan,01,12,2020,46516,36946
Albania,01,12,2020,39014,19384
Algeria,01,12,2020,84152,54405
Andorra,01,12,2020,6790,5940
Angola,01,12,2020,15251,7932
Antigua and Barbuda,01,12,2020,142,130
Argentina,01,12,2020,1432570,1263251
Armenia,01,12,2020,135967,110365
Austria,01,12,2020,285489,227497
Azerbaijan,01,12,2020,125602,76897
Bahamas,01,12,2020,7543,5934
Bahrain,01,12,2020,87137,85357
Bangladesh,01,12,2020,467225,383224
Barbados,01,12,2020,278,255
Belarus,01,12,2020,138219,115587
Belgium,01,12,2020,579212,0
Belize,01,12,2020,5854,3151
Benin,01,12,2020,3015,2839
Bhutan,01,12,2020,414,386
Bolivia,01,12,2020,144810,122495
Bosnia and Herzegovina,01,12,2020,89085,53724
Botswana,01,12,2020,10742,7912
Brazil,01,12,2020,6386787,5712305
Brunei,01,12,2020,151,145
Bulgaria,01,12,2020,148775,53000
Burkina Faso,01,12,2020,2931,2644
Burma,01,12,2020,92189,71343
Burundi,01,12,2020,689,575
Cabo Verde,01,12,2020,10816,10366
Cambodia,01,12,2020,329,304
Cameroon,01,12,2020,24487,22177
Central African Republic,01,12,2020,4918,1924
Chad,01,12,2020,1700,1532
Chile,01,12,2020,552864,528034
Colombia,01,12,2020,1324792,1217647
Comoros,01,12,2020,613,586
Congo (Brazzaville),01,12,2020,5774,4988
Congo (Kinshasa),01,12,2020,12859,11663
Costa Rica,01,12,2020,140172,87721
Cote d'Ivoire,01,12,2020,21334,20981
Croatia,01,12,2020,131342,108231
Cuba,01,12,2020,8381,7658
Cyprus,01,12,2020,10883,2057
Czechia,01,12,2020,528474,455177
Diamond Princess,01,12,2020,712,659
Djibouti,01,12,2020,5680,5587
Dominica,01,12,2020,85,63
Dominican Republic,01,12,2020,144302,115530
Ecuador,01,12,2020,193673,169804
Egypt,01,12,2020,116303,102816
El Salvador,01,12,2020,39130,35839
Equatorial Guinea,01,12,2020,5156,5009
Eritrea,01,12,2020,577,498
Estonia,01,12,2020,12497,7536
Eswatini,01,12,2020,6442,6017
Ethiopia,01,12,2020,110554,74917
Fiji,01,12,2020,42,33
Finland,01,12,2020,25462,16800
Gabon,01,12,2020,9214,9066
Gambia,01,12,2020,3743,3607
Georgia,01,12,2020,139343,117560
Germany,01,12,2020,1094678,769380
Ghana,01,12,2020,51667,50547
Greece,01,12,2020,107470,23074
Grenada,01,12,2020,41,30
Guatemala,01,12,2020,122774,111574
Guinea,01,12,2020,13119,12045
Guinea-Bissau,01,12,2020,2441,2327
Guyana,01,12,2020,5423,4436
Haiti,01,12,2020,9296,8023
Holy See,01,12,2020,27,15
Honduras,01,12,2020,108253,48073
Hungary,01,12,2020,221073,64802
Iceland,01,12,2020,5413,5187
India,01,12,2020,9499413,8932647
Indonesia,01,12,2020,543975,454879
Iran,01,12,2020,975951,677963
Iraq,01,12,2020,554767,484570
Ireland,01,12,2020,72798,23364
Israel,01,12,2020,338389,324396
Italy,01,12,2020,1620901,784595
Jamaica,01,12,2020,10810,6364
Japan,01,12,2020,150976,125304
Jordan,01,12,2020,223617,162959
Kazakhstan,01,12,2020,175565,148043
Kenya,01,12,2020,84169,55610
"Korea, South",01,12,2020,35163,28065
Kosovo,01,12,2020,40117,25586
Kuwait,01,12,2020,142992,137625
Kyrgyzstan,01,12,2020,73178,64711
Laos,01,12,2020,39,26
Latvia,01,12,2020,17687,1806
Lebanon,01,12,2020,129455,83034
Lesotho,01,12,2020,2137,1278
Liberia,01,12,2020,1595,1343
Libya,01,12,2020,83417,54209
Liechtenstein,01,12,2020,1286,1110
Lithuania,01,12,2020,62515,15077
Luxembourg,01,12,2020,35129,26156
MS Zaandam,01,12,2020,9,0
Madagascar,01,12,2020,17341,16657
Malawi,01,12,2020,6028,5465
Malaysia,01,12,2020,67169,56311
Maldives,01,12,2020,13049,11968
Mali,01,12,2020,4762,3241
Malta,01,12,2020,9975,7748
Marshall Islands,01,12,2020,4,1
Mauritania,01,12,2020,8710,7764
Mauritius,01,12,2020,505,463
Mexico,01,12,2020,1122362,829817
Moldova,01,12,2020,108863,95918
Monaco,01,12,2020,617,559
Mongolia,01,12,2020,812,358
Montenegro,01,12,2020,35849,24637
Morocco,01,12,2020,359844,310193
Mozambique,01,12,2020,15770,13778
Namibia,01,12,2020,14416,13600
Nepal,01,12,2020,233452,216594
New Zealand,01,12,2020,2060,1963
Nicaragua,01,12,2020,5838,4225
Niger,01,12,2020,1586,1219
Nigeria,01,12,2020,67838,63430
North Macedonia,01,12,2020,62945,40188
Norway,01,12,2020,36591,17998
Oman,01,12,2020,123908,115441
Pakistan,01,12,2020,403311,345365
Panama,01,12,2020,167311,145518
Papua New Guinea,01,12,2020,669,597
Paraguay,01,12,2020,83479,58949
Peru,01,12,2020,963605,893061
Philippines,01,12,2020,432925,398782
Poland,01,12,2020,999924,597589
Portugal,01,12,2020,300462,220877
Qatar,01,12,2020,139001,136306
Romania,01,12,2020,479634,360934
Russia,01,12,2020,2302062,1787962
Rwanda,01,12,2020,5948,5544
Saint Kitts and Nevis,01,12,2020,22,19
Saint Lucia,01,12,2020,259,138
Saint Vincent and the Grenadines,01,12,2020,85,80
San Marino,01,12,2020,1650,1334
Sao Tome and Principe,01,12,2020,996,934
Saudi Arabia,01,12,2020,357623,347176
Senegal,01,12,2020,16107,15627
Serbia,01,12,2020,183437,0
Seychelles,01,12,2020,183,162
Sierra Leone,01,12,2020,2413,1838
Singapore,01,12,2020,58228,58139
Slovakia,01,12,2020,107183,68859
Slovenia,01,12,2020,77135,55476
Solomon Islands,01,12,2020,17,5
Somalia,01,12,2020,4451,3417
South Africa,01,12,2020,792299,732531
South Sudan,01,12,2020,3111,2954
Spain,01,12,2020,1656444,150376
Sri Lanka,01,12,2020,24532,17817
Sudan,01,12,2020,18045,10369
Suriname,01,12,2020,5319,5197
Sweden,01,12,2020,260758,0
Switzerland,01,12,2020,330874,250200
Syria,01,12,2020,7973,3624
Taiwan*,01,12,2020,679,568
Tajikistan,01,12,2020,12231,11640
Tanzania,01,12,2020,509,183
Thailand,01,12,2020,4026,3822
Timor-Leste,01,12,2020,30,30
Togo,01,12,2020,2997,2515
Trinidad and Tobago,01,12,2020,6685,5807
Tunisia,01,12,2020,96769,70851
Turkey,01,12,2020,668957,409320
US,01,12,2020,13721858,5226581
Uganda,01,12,2020,21035,9044
Ukraine,01,12,2020,765117,370677
United Arab Emirates,01,12,2020,170149,155667
Uruguay,01,12,2020,6024,4483
Uzbekistan,01,12,2020,73276,70534
Vanuatu,01,12,2020,1,0
Venezuela,01,12,2020,102621,97562
Vietnam,01,12,2020,1351,1195
West Bank and Gaza,01,12,2020,88004,65938
Western Sahara,01,12,2020,10,8
Yemen,01,12,2020,2197,1514
Zambia,01,12,2020,17665,17059
Zimbabwe,01,12,2020,10129,8643
Denmark,01,12,2020,82470,65275
Denmark,01,12,2020,82470,65275
France,01,12,2020,2283172,169663
Denmark,01,12,2020,82470,65275
China,01,12,2020,92993,87051
Australia,01,12,2020,27923,25606
