cod_ine;CCAA;dia;mes;año;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
1;Andalucia;1;1;2020;0;0;0;0;0
1;Andalucia;2;1;2020;0;0;0;0;0
1;Andalucia;3;1;2020;0;0;0;0;0
1;Andalucia;4;1;2020;0;0;0;0;0
1;Andalucia;5;1;2020;0;0;0;0;0
1;Andalucia;6;1;2020;0;0;0;0;0
1;Andalucia;7;1;2020;1;1;0;0;0
1;Andalucia;8;1;2020;0;0;0;0;0
1;Andalucia;9;1;2020;0;0;0;0;0
1;Andalucia;10;1;2020;0;0;0;0;0
1;Andalucia;11;1;2020;0;0;0;0;0
1;Andalucia;12;1;2020;0;0;0;0;0
1;Andalucia;13;1;2020;0;0;0;0;0
1;Andalucia;14;1;2020;0;0;0;0;0
1;Andalucia;15;1;2020;0;0;0;0;0
1;Andalucia;16;1;2020;0;0;0;0;0
1;Andalucia;17;1;2020;0;0;0;0;0
1;Andalucia;18;1;2020;0;0;0;0;0
1;Andalucia;19;1;2020;0;0;0;0;0
1;Andalucia;20;1;2020;0;0;0;0;0
1;Andalucia;21;1;2020;0;0;0;0;0
1;Andalucia;22;1;2020;0;0;0;0;0
1;Andalucia;23;1;2020;0;0;0;0;0
1;Andalucia;24;1;2020;0;0;0;0;0
1;Andalucia;25;1;2020;0;0;0;0;0
1;Andalucia;26;1;2020;0;0;0;0;0
1;Andalucia;27;1;2020;0;0;0;0;0
1;Andalucia;28;1;2020;0;0;0;0;0
1;Andalucia;29;1;2020;0;0;0;0;0
1;Andalucia;30;1;2020;0;0;0;0;0
1;Andalucia;31;1;2020;0;0;0;0;0
1;Andalucia;1;2;2020;1;0;0;1;0
1;Andalucia;2;2;2020;1;1;0;0;0
1;Andalucia;3;2;2020;1;1;0;0;0
1;Andalucia;4;2;2020;0;0;0;0;0
1;Andalucia;5;2;2020;0;0;0;0;0
1;Andalucia;6;2;2020;2;1;1;0;0
1;Andalucia;7;2;2020;2;2;0;0;0
1;Andalucia;8;2;2020;0;0;0;0;0
1;Andalucia;9;2;2020;0;0;0;0;0
1;Andalucia;10;2;2020;1;1;0;0;0
1;Andalucia;11;2;2020;0;0;0;0;0
1;Andalucia;12;2;2020;1;1;0;0;0
1;Andalucia;13;2;2020;1;1;0;0;0
1;Andalucia;14;2;2020;1;1;0;0;0
1;Andalucia;15;2;2020;1;1;0;0;0
1;Andalucia;16;2;2020;0;0;0;0;0
1;Andalucia;17;2;2020;0;0;0;0;0
1;Andalucia;18;2;2020;3;3;0;0;0
1;Andalucia;19;2;2020;1;1;0;0;0
1;Andalucia;20;2;2020;4;3;1;0;0
1;Andalucia;21;2;2020;4;4;0;0;0
1;Andalucia;22;2;2020;2;2;0;0;0
1;Andalucia;23;2;2020;2;2;0;0;0
1;Andalucia;24;2;2020;5;5;0;0;0
1;Andalucia;25;2;2020;9;9;0;0;0
1;Andalucia;26;2;2020;9;9;0;0;0
1;Andalucia;27;2;2020;8;7;1;0;0
1;Andalucia;28;2;2020;8;8;0;0;0
1;Andalucia;29;2;2020;8;8;0;0;0
1;Andalucia;1;3;2020;26;25;1;0;0
1;Andalucia;2;3;2020;33;33;0;0;0
1;Andalucia;3;3;2020;37;37;0;0;0
